category	text
Positive 	 Ithe kandirikkum enn ullvar like itte pokko 🤨
Positive 	 Kollam Nalla oru padam veendum ..varunnu enn thonnunnu
Negative 	 Comedy cheyan Oru prethaka kazhivu vennam athu surajinu ilaaa. Full chali aytaanu thonnanee
Positive 	 Vikruthiyude vijayathinu shesham veendum prekshakare akamshayilakkikond adutha padam Android Kunjappan..Awaiting 🥰🥰🥰
Positive 	 Padam vijayikkum  S&S COMBINATION WITH ROBOT
Positive 	 Adaaru item. Hooror movie feel. Haha. Jappaanee nee theernnadaaaa....  Petrol ozhichu kathikkum.  Poli Poli Poli.... 🤩🤩🤪🤪
Positive 	 Surajettan &  soubinkka   powli combo
Positive 	 Powlii powlii...last dialogue comedy anenkilu kidlm tyming
Positive 	 Ithokka Malayalam cinemayk maathram avakashapedan pattunna cinemakal aan
unknown_state 	 Naalu bengalikal rand side il ninn mannu valich kadalilitta theerunnathe ullu ninte japan
Positive 	 Katta Waiting..... Suraj Ettanteyum Saubin Sahirinteyum... Vere Level Comady Film Aaavaam
Positive 	 Nice ... Varampo kaanam engana nu ....
unknown_state 	 Poi balalsangam chyum allenki petrol ozhichu kathikum....
Positive 	 Movie adipoli.. aju varghese my fav
unknown_state 	 gas off chaitho enu choikumbola sarikum nammakum doubt varunai
not-malayalam 	 Am Tamil but I love Malayalam movies...kumbalangi nights heroine
Positive 	 innanu movie kandathu.....kidu nnu paranjal pora......kidilokkidilam
Positive 	 Super Cinema... Really a thriller movie... Kanditt sahikyilla... Sangalpikyaan koodi Vayya anganoru avastha .... Kidilan movie
not-malayalam 	 Thriller movie
unknown_state 	 KFC nte freezer yil Helen pett povnnathaan kadha
unknown_state 	 mallu students canada arelum? like here
not-malayalam 	 bhai mza aajayega dekh kat great movie
Positive 	 Aju chettan polikkum nna thonnane
not-malayalam 	 Loosu pundamavanuga namma urulaium edukuranugale padam loosu pu conceptla
Positive 	 Poster kanditt feel good anenn karuthi kanathe vitu
unknown_state 	 Kfc chicken vekkaan kayariyappol
Positive 	 Trailer 50il kooduthal thavana kandath njan maathramaano Anna ben vineeth yettan izhtam
Positive 	 Costumes Irshad khan Cherukunnuijj Poli mutheeee
Positive 	 Vineeth sreenivasan Chetante cinema aano...nkil padam kiduvarikkum
unknown_state 	 00:42 njangade Grand center Mall muvattupuzha
unknown_state 	 Itil alle pearle maaney ulluathu.... Trailer il illallo
Positive 	 Katta waiting..anna ye kaanan kothiyakunnu kumbalangy nights pwoli love you...
Positive 	 Pworich kurach kalangalaayi ijjathi padem Tamil mathram aannu kandirunnath .eni malayalathilum kannaan ulla bhagyem Ind .Poli Poli poli
Positive 	 Ee idaik irangiyathil  best trailer in Malayalam movie
not-malayalam 	 Adipoli Etta. Tamil fan from pondicherry . Indha penkutty nannaittu nadikiranga
unknown_state 	 Ennalum ee tamilanmark ntha ithil karyam
Positive 	 ADIPOLLI  STOREY AJU*. *IKKA  MASS
not-malayalam 	 Heyyy Super pa....  Meratuthu
unknown_state 	 Helen aa freezerill kudungan karanam avlode onn allenn chodikkan paranjittutakum alle
Positive 	 Ente Peru Chodikkaathe eduthathil paribhavamilla ketto..  Cinema super aanenn trailer kandappol thanne manassilaayii
not-malayalam 	 Love  From SriLanka  Anyone SriLankans hit like
not-malayalam 	 Trending #1 karriku.. Any karrike fans
Positive 	 Padam hit ahnu.. kaaranam ithinte producer Vineethettan aanu
unknown_state 	 1:00 kuttiye freezer pootiyittirikunnu ennu thonunu
not-malayalam 	 sikirama itntha movie ah theater la pakanum
not-malayalam 	 Nalla parungada trending no.2 la thaan iruku
not-malayalam 	 Woooow.....  from Sri Lanka
not-malayalam 	 Yaen da kandaara voli' hala.....neengalaey 1st trending'nu potu viduveengala....patti koodharai hala....Trending 2 da
not-malayalam 	 0:42 Grand Central mall.. Muvattupuzha
unknown_state 	 0:49 il varunna acress ine ethoo cinema yil kanda orma.. ethayirunnu?🤔
not-malayalam 	 Ada paavigala idho edho youtube advertisement nu illada naan swipe pannitu poiten
not-malayalam 	 Great trailer  I am Srilankan tamil Eniki malayalam manasilaytu  Kumbalangi nights fame Anne bae   Hit like anyone SriLankans
unknown_state 	 Muvattupuzha KL 17 machan maru Like
Positive 	 Kanditt nalla quality olla padam aann thonnunnud
Positive 	 Janapriya Nayakante Pakka Family Entertainer Superb Trailer
unknown_state 	 Dileep ettan fans like here
Positive 	 Trailer pwoli ............... .25
unknown_state 	 Mamangathinte charithram ariyendavark e linkil keri nokkam.
unknown_state 	 50. KHURESHI. Abraham khureshi ano udheshiche ettan uyir
Positive 	 Mamangam Vismayathinu 5 naalukal mathram Katta waiting
unknown_state 	 Nale promo video song eranguvanne..kavya filims chanalil
not-malayalam 	 Don't compare stars... Because everyone is unique
not-malayalam 	 7 days to go for mamangam.
Positive 	 Namude swantham mammookkayk lalettan fansinte vaka asamsakal..mamangam nalloru thirich varav sammanikatte.. trailer kidukiyitund
Positive 	 Oru 30 pravashyamenkilum kandirikkum trailer  9 days to go for mamangam On dec 12
Positive 	 Dec 12 onn akan etra nalay waiting anu
Positive 	 Ikkaaaaa katta waiting.. Ini kurach nal koodi
unknown_state 	 Malappuram jillakkarude padam. Malappuram jillakkar adi like
Positive 	 Katta mammokka fans like buttonil power kanikku Trailer polichu
not-malayalam 	 Our #Mammootty #BOLLYWOOD Fans Like kardho yaar
unknown_state 	 Unni mukundan ithil marikkumennanu enik thonunnathu
not-malayalam 	 4M viewsmammookka we are waiting
Positive 	 Mamangathine  Ajaygopal  fansinde vijayasamsakal.
Positive 	 Luccifer trailerinu 10 millionilethicha. Editarmaarile pon sooryan
unknown_state 	 4 million ayi Ellavarum like adi
Positive 	 5 millionilekk kuthikkunna makankam trailerinu ellavidha bhavukangalum nerunnu
not-malayalam 	 Sab bahubali jaisi film nhi ho sakti
unknown_state 	 Innu november 21 e divasamavan ethra kathirunnu inni december 12nu kannam
unknown_state 	 4M      Views 224K   Likes 32K   Comments  Mamangam Mammookka
Positive 	 4 million +  Adichu polikada makkale
unknown_state 	 4 million ayonn nokan vamnnavar like... cmnt
unknown_state 	 Mamangam Trailer Troll Video kananamenkil #RijasModed
Positive 	 Padam iragan eni thivasagal mathram katta waiting
Positive 	 Indian cinimayil mamankathe vellan anoruttan Vere janikanam
unknown_state 	 7m subcribesundayittum 3.9m views 5m yethikku plz kandavar onnum kudi kaanuga
not-malayalam 	 18/11/2019⃣     is anybody here
not-malayalam 	 A fan from Bangladesh mamookka ki Jai...
not-malayalam 	 Release date
not-malayalam 	 Megastar Mammootty M padmakumar Mamangam Malayalam Moovie
Mixed_feelings 	 Moonure enthayalum adikkila erunoore Kodi adukateenne ashamshikunu
Positive 	 Mammukka ningal bharikkanam Malayalam Cinema iniyulla kalavum
not-malayalam 	 MEGASTAR MAMMOOTTY  MAMANGAM M PADMAKUMAR MALAYALAM MOVIE
Positive 	 Ikka vera level... ithu 500 cr kerum100%sure
Positive 	 Ee maha avataratte nerkku ner illadakkan marakkar padu pedolo ishwaraa..  1:17 bgm
Positive 	 Aadyayitta oru comment vidune video kandaal aarum onnu comment ittupovum
Positive 	 Padam industry hit aakatte ennu oru Lalettan Fan
Positive 	 December 12   ikka Katta Waiting ikka
unknown_state 	 MEGASTAR  fans oru like adi
unknown_state 	 Trailer 20 ill kooduthal kandavar like here
Positive 	 Prayam koodundorum soundaryam koodunna ore oraal.. Mammookka
unknown_state 	 Mamangam Release date mattiyo ???  Wikipedia  il December 12 ??????
unknown_state 	 Newer comment kanan vannavar like chey
Positive 	 Keep going mammukka....  katta waiting...
Positive 	 Padam vere level aaavum.... Mammulaaaal fanz
Positive 	 Trailer kandit manassilayeele eth vere level aan makkale
not-malayalam 	 What did happen to Cheramana Perumal Tajuddin?
unknown_state 	 Enthokke paranjalum mamookaye vellan aarum illa. Eni aarum varukayumilla...if u agree like.. allenkil karanam comment cheyy...
unknown_state 	 Trendingil 27   Evide ikka fans Come on fans
Positive 	 Ejjaathi hardwork mammookka!!! Katta waiting padam onnu kaanan aayit
unknown_state 	 Ipolum trailer kanan vannavar like adikk
not-malayalam 	 wow.....ithu mathiri oru teaser pakkave illa romba pramada mayirikku
Positive 	 Enna oru feel olla trailer
Positive 	 Oru mohanlal fan aaya njan   katta wait cheithu irikuna mamooty de filim...
Positive 	 katta waiting mamangam njanum undakum November 21
Positive 	 Mamangam malayalam industriyude oru gem aay marum urapp
Positive 	 Kalam ethra poyallum charithra purushanmare prathinithikarikkan angh kazhiyunnundallo mammooka
unknown_state 	 Mammokkaye snehikunnavar Ivide like addi
unknown_state 	 Eee traileril main oru point und kalanghiyavar like
Positive 	 Ithupole oru trailer iniyundakumennu thonunnilla. Superb
unknown_state 	 Ipoyum ivde thanne chuttipatti nilkkunnavr undo
not-malayalam 	 One & only mammangam ....... loading
unknown_state 	 4 M views aayonne nokkaan vannavar undo???? 🤔
unknown_state 	 Maraykkarum mamangavum oru pole kaathirikkunnavar like
Positive 	 Mamangam marana mass akum allathe pinne
Positive 	 Sathykatha anthannu vacha kandittu angottu mathivarunnilla
Positive 	 Ikka de carter hit aavm Maamankam ennathil oru samsyavum vndaaa
Positive 	 Onnum parayanilla mammukkakkum ee teaminte ellavarkkum All the best
not-malayalam 	 Superb trailer I have ever seen
Positive 	 ethra thavana kandaalum veeryam koodunna kolakolli item
Mixed_feelings 	 Mass dialogue ketittu chiri vanathu enikku mathram aano
Positive 	 Ufffffff ichayaaa pwolich ur die hard fan 4 ever
Mixed_feelings 	 Enik thonnunu idh telugu padam pole ayirkum enn......
Mixed_feelings 	 Tovino shakalam podikk koodi onnu improve aakanundd.. kaaranam dialogue variations chilathu kutykalude Vakkupole aakunnundo ennoru samshaym und
Positive 	 Telugu film pole masss  trailer
unknown_state 	 Pillerk korach like kodukkuo enn Bonny Annan choikkan parnn
Positive 	 nthayalum firstday firstshow urappichu kore naalayi malayalathil immathiri action padam erangittt kandkalayam
unknown_state 	 ente channel onnu subscribe chayyammo
unknown_state 	 IDI movie orma vannhavar adi oru like
Mixed_feelings 	 Evideyokkeyo oru Kasaba and Idi feel
Positive 	 Katta waiting aliyoo njanga malayalikalkkum nddaa mass padangal
Mixed_feelings 	 tamil movie polea undeallo.  over aano
Mixed_feelings 	 Enniku mathramanno ith jayasurayude IDI yumayi samyam thonniyathe
Positive 	 Venda kutta uruttam last dialogue polii....
Negative 	 enthu oola trailer aanu ithu. poor dialogue delivery
not-malayalam 	 super dq fan kiccha sudeep fan karnataka
unknown_state 	 Ee videokk sheesham tovino fan aya arokke und🤚🤚
unknown_state 	 Ini idikkano sire vnda urutta
Negative 	 Diriection mosamanu ennoru thonnal.. oru feel varunnilla
Positive 	 Oru dubbing padathinte trailer pole.  kidu
Mixed_feelings 	 Trailer kidukki.but screen ratio kuranjath kond vallatha irritation thonnunnu
Mixed_feelings 	 Aa teasernte athra pora villante name oru punch illa amar
unknown_state 	 Settt
unknown_state 	 50 cr manakkunnu....kerum urapp ullavar like adi....
Positive 	 ‍ Venda kutta uruttam  Aaah pwoli Background music
Negative 	 Tovino machane fight scene poratto... eniyum valaraan undu
unknown_state 	 Paranjere malayalathil oru stunt master vannitundenn
Positive 	 Ichyaaaa polich nanum indu ee moviel kalki 🤩
Positive 	 Ente jeevante jeevanaya ichayoiii niga muthanu kalkkiyeee kalkki
unknown_state 	 Vishnu avatharam Narasimham vannu .. Ini veranullathu avanaaa Kalkiii
unknown_state 	 Eee padam hit aavum ennullavar lyk adi
Positive 	 Pwoli.. Keralathil kittiyillel telugil um hope ind
unknown_state 	 ICHAYAN DIE HARD FANZZ LIKE ADIKK KALKI KATTA WAITING.....
unknown_state 	 Ee nanchakottayill arudeyuum kanneeroppaan vannathalla njan..pakshe karayikunnavante okeyuum thala njan adichu polikuum!
Positive 	 feel good kand maduthavarkkaayitha ichayante  mass masala padam
Positive 	 Kidukachi ene parja pora athukum mele  tovi ichaya🤩🤩
unknown_state 	 Pulli oru kollam etra films cheyyum🤔
Mixed_feelings 	 Look
Positive 	 Tovinho fans like അടി..... tovinho പൊളിച്ചു
unknown_state 	 kore naal mumb erangiya aa teaserile look (iron box scene) trailer il  onnum kaanikkunnillallo🤔
Positive 	 Eth oru onnonnara padam aavum enn urappullavar like adi
Positive 	 Oru reksheyum illa kandittu oru tamil padam feelings
unknown_state 	 Koreye naalayi adi padam kandit..
Positive 	 Action film kaddittu kurrachu kallam ayyi
unknown_state 	 Lalettane prathheeshich ithuvazhi vannavar like
Positive 	 Heavy mass        പൊളി
Negative 	 Adutha vishunu aduthu vekkam .... Assal padakkam aavum
unknown_state 	 Ithra pettenn 12 k likes
unknown_state 	 Ippam mazha kalamayond mannira nallanam kuthikunund  tovino ippam velland kuthikunnu
not-malayalam 	 Tovino Die Hard Telugu Fans
not-malayalam 	 Like a tamil and Telugu movie
Mixed_feelings 	 Teaser ille kittiya mass triller ille kittilla
Negative 	 Samyuktha vendayirunnu. :(  Aishu pwoli ann
Positive 	 Super star aakan pattiya aaal.  Tovi the mass
unknown_state 	 Doll inte bgm ishtappettavar like adikk
unknown_state 	 Ithu kandappol uru pazaya commissionere oorma vannavarundo
unknown_state 	 Hevvy mass lalettan and mammukka fans like
Mixed_feelings 	 Trailer kollam.... But Oru Telugu padam pole irikanu... Enthayalum oru action packed mass padam aayirikum
unknown_state 	 FDFS book cheyyum ennu urappullavar ivde likikkoo
Mixed_feelings 	 Sathyam paranja valya punch onum kittila..
Positive 	 Ichaayn masss alaaa marana masss anuuuu polwiii
unknown_state 	 Ini idikanno siree venda uruttaam kalki avatharam loaDing appo ini Fdfs
Positive 	 Ichayan pakkaa massdaaa I love tovino
Positive 	 Kalki Kalakki Achayane innu Mannarkadinnu kande ollu...appo ithreyum pradheeshichilla
Positive 	 Chilapo Tovino nu Superstar Pathavi Nedi kodukaan pokunna chithram
unknown_state 	 Padam release cheyunne annu thanne kanumanne urapullavar Like adike machanmaree
Positive 	 Oru kidillan thriller movie ennu urappichu...  katta waiting Kalkki
unknown_state 	 Tovino ishtam Tovino fans like adi ആൻഡ് സപ്പോർട്ട് me
unknown_state 	 Tovino machannn nivin achachanntee pillarude katta support fans  like
unknown_state 	 Ithill Tovii polikumnn ullavar ivde like adii
unknown_state 	 1:42 to 1:45 oru lalettan look
Positive 	 August 8 ee padam powder powdered avum yennu vecha podi podikkkunn i am writing kalki
Positive 	 Fight vere level teateril paper kure keerendi varum ichayoooo
Positive 	 Toveee...... ichayo... trailer kandu aaake excitement adichu irikkuva...film ethrayum vegham theater lu ethiyengil
Positive 	 Ichayan kasari. Kiduki. Porich. Njgal tcr karude swagraya ahagaram
Positive 	 Singam model oru kidilan action movie aakatte.....
Positive 	 Ini idikanda.. urutam.. athu box officenodanu
Positive 	 Yejjathi padam ith polikkum ichayante ingane ulla oru padathinumvendiyan ithuvare kathirunnath....... kalki.... ith polikkkum
Positive 	 1:52 mass level  Fdfs urappichavar like adikku
Positive 	 Achaayaan poliyaatto...   kolamaasss Kalki 🥰
unknown_state 	 Tovino ichayante  Police vesham kandapolu eniku mathramano thonniyathu Kasaba Film Mammookkaya pole ichayanu varunu
Negative 	 ഇവിടെ telug padangal vevoola mr Twolinjo..
Negative 	 poraa pratheeksha illa.. Tovi voice rendering sradhichitilla..... camera
Mixed_feelings 	 Mass okeyanu... Over akathirunna mathyarnu... Malayalathil oru mass police Padam kandit ethra kalayi... Minnichekane...
Positive 	 Oru singam mmayam..  pwoli trailer
Positive 	 Venda kutaaa... Urutaaam.....  Tovino ishtam🥰 Katta waiting
unknown_state 	 Kattakk wait cheyyunnavarkk like adikkan ulla stalam.. 🤩
unknown_state 	 Cmnt idan vannathaaa 385 aayi appazhekkum
unknown_state 	 Ini arum malayala cinemayl police vesham Kashtapet idanda.. Ivde vann kaznju forever kalki ..tovino
unknown_state 	 Tovino machante katta fans adikk like
Mixed_feelings 	 Teaser kandappa kittiya mass feel trailer l miss cheyyand
unknown_state 	 Comment nokki kayijall pine trailer kannam
Positive 	 Arudeyum kaneer oppan vannadhalla njn... !! Pakshe karayikunnavarude thala njn adichu pwolikkum🤙 full on full power
unknown_state 	 Agane veedum oru mass's padam mm...
Mixed_feelings 	 Kasaba+ idi+ siruthai  കണ്ട പോലെ !!
not-malayalam 	 All  The Best from unni mukudan fans
unknown_state 	 Kalki fans show kannunavar like adichotovino
Positive 	 Machan pandey pwoli aanenn boni parayan paranju🥰
Positive 	 Poli tovi Chetta oru rakshayum illa marana mass
Positive 	 Aettanta padathin ikka fansnte ashamsakal 🤗🤗🤗
Positive 	 tamilnattilum No1 trending aaya first malayalam trailer..!#lalswag
Negative 	 Romanjamadichu pandaaradangi... Ee dislike adicha pithru shoonyanmaar ivide okke undaakanam...
Positive 	 tovino mass avum ennu urappullavar ivade come on
Positive 	 Onnum parayaanilla.....kaathirikkunnu Lucifer ney kaanaan!!! Prithvirajj polichuttooo...iniyum porattey cinemakal....Muralii...ingalu muthaanu...
Mixed_feelings 	 angane oru divasam daivam marichu..........hahahahah.....nalla comedy
not-malayalam 	 I'm form I very big fan Mr mohanlal
Positive 	 Ufffff.  Pwoli lalattaa... Katta waiting
Positive 	 Ithano aa cheriya movie  pattikallae
Negative 	 23 k  unlike   hehe   idum  kanji  tanne
unknown_state 	 Keep watching trending list 1il akkanam
Positive 	 Ithe namma jayikkan mathram kalikana kaliyaaaaa
Positive 	 Vedikettu...ee vecation Lucifer kondupoyi makkale....Lalettan & Rajuettan ....
not-malayalam 	 King Raja Fans want some Mutton Biriyani hahahaha
Negative 	 Dileepettan muthanu ningal lalettan fansanenkil nallathu paranjo kazhapamilla athinu dileepettan undakandataaa
not-malayalam 	 t e r r i f i c
Positive 	 10 ൽ കൂടുതൽ ഈ trailer kandavar ivide varoonjhaan 16 aayi
Positive 	 Romancham vanna trailer... and ...lalettante..Vaadaa...!!!.... ith pwolikkum.....
not-malayalam 	 Mohanlal or Rajnikanth ? Mohanlal - Like Rajinikanth - Comment
Positive 	 Onnum parayanila. ..nte ponno ...katta waiting March 28
Positive 	 Ithoru nalla trailer aanenn aarum parayum ennitum dislike sammathikkanam... Mass +class
unknown_state 	 24 hours kond 4 million cross cheyyum enn urappullavar like adikk
Mixed_feelings 	 Swantham panavum padavum aauapol experimentation undavumo;)
not-malayalam 	 After Pulimurugan Biggest Blockbuster ku Waitiing For Tn Fans
not-malayalam 	 Yaarupa ne indian no 1 mass actor
Negative 	 Unlike adicha mammunni fansinu irikkatte oru kuthirapavan
Positive 	 Oru reksham ella masss atra parayan epol patuuuuuuu laletan polychu
Positive 	 rajuvettan marana mass .....laletan kola mass
Positive 	 Athra thavana kanditum madip thonunile oru rekshym ile super
not-malayalam 	 I like lalettan from Coimbatore Nandhini
unknown_state 	 Ee trailer 10il kooduthal thavana kandathu njan maathram aano?
unknown_state 	 tovino machan rahul Gandhi aayi thonniyavarundo like
Positive 	 Raju ettan nde films il kaanan pettuna athe cinematography eee trailer il kaanan sathikunnu....
Negative 	 Ini ore vijayiyum keralathil vanne negalikkan padilla
unknown_state 	 Raju ettan  lalettan  MURALI GOPY
Positive 	 #trnding 1 എന്ന് കണ്ടു സന്തോഷായി   From an ikka fan  Rajuettn lalleettn  Adarru combo
Negative 	 adhyam 9 polinju 8 nilayil ini next ithum poliyum 9 nilayil
unknown_state 	 Innale 9.30n kandu 154k aayrunnu views  Now....
Positive 	 THIS DEAL WITH DEVIL ITH ORU POLI POLIKKUM
Positive 	 Madhuraraja ye kaal valara mikacha quality feel cheyyunnu.  A Mammookka fan.
unknown_state 	 Eee Traileril tovinoya  kondaapol ...rahul gandiya ormma vannavar evida like adi
Positive 	 Laletta ingal vere leval annu Waiting #L
Mixed_feelings 	 E padam pottan chance undu....TIYAAN movie orma varunnu...murali gopi alle script....kandariyam
not-malayalam 	 South India next level  Malayalam- Lucifer Telugu - bahubali Kannada - Kgf Tamil - 2.o
Negative 	 Sudapikalkku kurupotti aa dislikes kanda . A Hollywood level work
unknown_state 	 Madhura rajaye adichu potta kinattil itta stefen neduballi hajar hoom
Negative 	 Ithu award padam aano full slow aanallo
Positive 	 Mass kolla mass etra vattam kandu enne areyella .
Negative 	 Ee haters vann dislike adichalum 240k like und makkale..
unknown_state 	 TRAILER KAANAN VANNA IKKA FANS LIKE
unknown_state 	 Veendum Veendum kanunnavar Adi Like Ivide
Mixed_feelings 	 KGF nte oru feel kittya poole
unknown_state 	 Njan ee cinema 28th kaanum.Kanunnavar like adi
Positive 	 Direction maarakam prituiraaj nee tanne cheytathaano atho ariyunnavare kondu cheyyichathaano aaraayaalum massayittundu Well job man
Positive 	 Innale rathri 10manikk nokiyappol 200k views ippoyathaa 2m views... Trailer Pwolichu... Lalettan-Prithvi Combo  Padam 150+cr nedumennurappullavar like adiii
Negative 	 22K   Dislike enthuttta pattiye ¥ SuPpER teaser
not-malayalam 	 Trending 1 on Tamil Nadu
Negative 	 shuger raja fance onnu virachu alle.ithokke endh varan pokunnathanu mone pooram
unknown_state 	 Kalabahavan shajon laleetane chathikkum athe urappa trailer kandappo manasilayii
unknown_state 	 Ingalu puthu muga director aano Rajuvetan
Negative 	 Eathu nayinte makkal avao dislike adiche
not-malayalam 	 100 crores? Madhura Raja or Lucifer comment please
Positive 	 Laletta inghal pande vera level aah...pande nenjil kond nadakunaathaa ente swantham lalettaneLub uh laletta
Positive 	 Pinneyum pinneyum kaaaanunnavar like adi... Lalatten ishtam
Positive 	 Raju ettaaaa ningal Vera level
Positive 	 ITHU ORU ONN ONNARA ITEM AANEEE
Negative 	 Dislike adicha mamookante  fanse odu myrukale
not-malayalam 	 i am Kannada i dont understand language but super
unknown_state 	 Prithviraj ne kandupidichavar like karo..
Positive 	 Mass enn paranjal pora... Marana mass
Negative 	 Dislike adicha pullanmarude mugathulla adiyavatte oro likum
unknown_state 	 ethra viewersayi ennu  nokkan vannavar adi like
Negative 	 Bgm poaRaaa.... Goapi aanel maanthittaanelum Bgm GoosebumpS aakkum
Mixed_feelings 	 Dislike adichu tholpikan pattila makkaleaaa.. Lalettan oru rakshem illa... Prethviraj pwlichu... Katta waiting for 28th...
unknown_state 	 Lusifer anthem  onne pettene varanam ennullavar ivide oru like addiche
Positive 	 Katta waiting  Lalettan  Rajuettan polichu heavy  Entha oru feel
unknown_state 	 Repeat adichu kanunnavar  ivide like അടിച്ചേ..
Positive 	 Ithu vere level trailer aanu Mone....
unknown_state 	 Rajuettan itherayum Kalam abhinayikkuka aarnno atho direction padikkuvarnno
Negative 	 ലാലേട്ടൻ പ്രിത്വിരാജ്   22K dislike vannenkil urapicho arkokkeyo kuru pottiyitund...  padam sure hit...
unknown_state 	 Itu kandappo roomancham vannavar like adi
Positive 	 1:51 ....VAADA ...aa oru otta shot mathi
Positive 	 malayalam film industry ile etavum stylishaayitulla trailer.. LUSIFER
Positive 	 Love From #Mamookka Fan..Ee padam pwolikkum..#Katta_waiting..Rajuvetta Enta Romam okke enittu ninnu breakdance kalikunnu..
not-malayalam 	 sala lucifar matalb kya hai jante hu oska matlab saitan
Positive 	 Edak... Edak vanu trailer nokkunnavar.... Arokke....? Lalettan PrithviTovi  Istttam
Positive 	 LALETTAAA POLICHU  100 CR KOYYUM
not-malayalam 	 2M oh god after 10 hour a go
Positive 	 Mohanlal fans like here .... Ettan maaasss aanu
Positive 	 Addi poolliiii..odiyanna  kaall ushirooodukudiii  LUCIFER..MARANAA  MASSSSS
Positive 	 Nte ponno oru raksha Illa Ennaaa Trailer
unknown_state 	 Polioru mass film airikumm anullavr like adiku
Positive 	 Kandittum kandittum madhiyaavunnillallo deyvame.....Ente laletta ningal star alla oru GALAXY aanu
Positive 	 Ini aarkkum onnum parayaanillallooo Remember the Name: Laleettan
Mixed_feelings 	 MAnju variyar ullathu kondu oru pedi pottumop
Positive 	 Ravle 7.30.k eneete pade repeat adich kanunnavark othukoodanulla sthalam
unknown_state 	 Ithrem aniyanmar vijarichal 1m like opikan patille
Positive 	 padam hit.....pani ariyavunnavar film pidichal trailer kandalum goosebumps varum
Positive 	 Nammude prithvi amgane veruthe onnum direct cheyillalloo... Lalettante kure nallukalyi irangunnathil aattavum nalla movie....
Positive 	 Ejjathi ..  Item.... Lalettanum fansum pwolikmmmmm
Positive 	 iyalith verthe parayuvaan puthumukha samvidhayakan aanenn
unknown_state 	 Thala Ajith Kumar viswasam  Intro
unknown_state 	 arokee ningaldee comentsnu etraa like kittenu nokkan vannu
Positive 	 Etta...... Sherikm super🤝ntha parayuka...  Oru rekshem illa.. Adipoli... Katta wyting
not-malayalam 	 mohanlal fans from tamilnadu please make him mega movie release in tamil at same relese date
Positive 	 Raju etta ningal Malayala cinema ye Vere Level Aaakum Alle
Positive 	 Ettaaaa kandalum kandalum mathi varunnillaaaaaa poli anu kettooooo
unknown_state 	 Ettanay kanan vendiii veendum veendum varunnay njn mathrano
unknown_state 	 Ettan anthannu kandallo ettan fans hit like
unknown_state 	 EVIDE YO ENTHO ORU TWIST... MANAKKUNNALLO🤔
Negative 	 Pandi rajaye malarthi adichu athanu lal magic
Positive 	 Enna parayan eneet ninnu thoyth povum
Positive 	 Ithu njan 10il kooduthal  kandu
Positive 	 Kidilan....... Lalettan  pritvi
not-malayalam 	 Kuch Samaj Mai nhi Aya but Maja Aya
Positive 	 Trailer nannayutu untu valthukkal mokanlol Sir and fans
Negative 	 Edo thallu menone direction padikanonkil rajuvetante aduthu chenna enganeyanennu padipichu tharum ?
unknown_state 	 Eppam samayam 1:20 am 4million views 2:30 am akumbozhelum akumo(saudi time)
unknown_state 	 Nettoran as Congress guy. 🤐.. kadha manasilayi .. linen taking place of gadhi ....
not-malayalam 	 K G F   DUBLE
not-malayalam 	 Iam from  punjab.. & Iam big fan of mohanlal
Positive 	 Lalettan kidu Raju Etta super trailer
Positive 	 All the best lalletta  oru katta Messi & ikka fan
unknown_state 	 Traileril PrithwiRaj ne kandavar aarokke?
not-malayalam 	 Somehow feels like something I’ve seen before . Hopefully movie is better.
Positive 	 28 lucifer release ente bday pwoli
unknown_state 	 Ethra viewers ayi ennu nokkan varunar arokeya..
unknown_state 	 Onnil kooduthal thavana ee trailer kanda mahanmar undengil adi monne like....njan ulpede
Positive 	 Randennam adichitt kaanumbo waav........ Sooooooooperb trailer.... Lucifer le L neengumbo....   Ennaaa oru paranjariyikkaan pattaathathra aimaaaaaaaa....
Negative 	 Mohanlal=manju Manju=mohanlal  #manju kanji kodukendi verumo??  Lalletta aduttha filmilengilum nadiye mattane plzzz.. Illengil kanji orappa!
not-malayalam 	 1.56 to 2.00 made my day
unknown_state 	 Lalettan  nthaaa lukkkk Lalettan fans like me
Positive 	 I love Lalettan and prithviraj...prithviraj always admired him.. Ithu polikkum.. Alla pinna...
Positive 	 vaada a otta vili athu mathi .athu maathram mathi
Positive 	 Paayunna KL T 666 il avan varunnu
unknown_state 	 1:01 Prithiraj  ano naduvil nilkunna aaal 🤔
unknown_state 	 Eeeswara njn mAthraano edakedak vann nokane
Mixed_feelings 	 Oru naaturajav style illeeeeeee ennoru doubt?
not-malayalam 	 Love from karnataka
unknown_state 	 OOO    Odiyan ????
Negative 	 Enthanavo manju warier kanumbol oru deshyam
not-malayalam 	 Semma trailer  Lalettan mass🤘... frm TN.
Positive 	 onnil kooduthal thavana trailer kandavar pls like here
Positive 	 Njan oru lalettan fan allengilum trailer kandappo...ee film kalakkum orappa....mega super hit aagum....urappe..
not-malayalam 	 Best Malayalam movie  trailer I've seen!
not-malayalam 	 SIR... PLEASE DUBBED FOR #TAMIL TRAILER FOR EXTRAORDINARY ......
not-malayalam 	 I love mohanala Sir Trailer semma mass
Negative 	 Ithinekkal valiya romanjifickation trilor aaaayirunnu villan ...ennitto padam 8L pottii idum anginethanneyaavum ....laletta ingalu maaarikkoluuu pillleru kalikkette
